name, latitude, longitude, rank, score, private, religious, catholic, type
Asquith Primary School,53.755400,-1.610486,0.739336,85.000000,FALSE,FALSE,FALSE,Primary
Rothwell St Marys RC Primary School,53.746166,-1.474667,0.734597,84.000000,FALSE,TRUE,FALSE,Primary
Roundhay St Johns Church of England Primary School,53.827478,-1.495876,0.729858,84.000000,FALSE,TRUE,FALSE,Primary
St Patrick Catholic Primary School,53.800291,-1.512943,0.725118,84.000000,FALSE,TRUE,TRUE,Primary
Swinnow Primary School,53.800392,-1.650102,0.720379,84.000000,FALSE,FALSE,FALSE,Primary
Cobden Primary School,53.783006,-1.609550,0.715640,84.000000,FALSE,FALSE,FALSE,Primary
Austhorpe Primary School,53.797714,-1.436449,0.710900,84.000000,FALSE,FALSE,FALSE,Primary
Birchfield Primary School,53.755823,-1.635496,0.706161,84.000000,FALSE,FALSE,FALSE,Primary
Churwell Primary School,53.758578,-1.596348,0.701422,84.000000,FALSE,FALSE,FALSE,Primary
Weetwood Primary School,53.829321,-1.582834,0.696682,83.000000,FALSE,FALSE,FALSE,Primary
St Benedicts Catholic Primary School,53.795425,-1.382763,0.691943,83.000000,FALSE,TRUE,TRUE,Primary
Robin Hood Primary School,53.737429,-1.507633,0.687204,83.000000,FALSE,FALSE,FALSE,Primary
Highfield Primary School,53.851488,-1.526784,0.682464,82.000000,FALSE,FALSE,FALSE,Primary
Lower Wortley Primary School,53.783280,-1.599676,0.677725,82.000000,FALSE,FALSE,FALSE,Primary
Farsley Springbank Junior School,53.812997,-1.668856,0.672986,82.000000,FALSE,FALSE,FALSE,Primary
Stanningley Primary School,53.809683,-1.652425,0.668246,82.000000,FALSE,FALSE,FALSE,Primary
Rawdon Littlemoor Primary School,53.855396,-1.689057,0.663507,81.000000,FALSE,FALSE,FALSE,Primary
Ashfield Primary School,53.911891,-1.708063,0.658768,81.000000,FALSE,FALSE,FALSE,Primary
Cross Gates Primary School,53.806085,-1.460509,0.654028,81.000000,FALSE,FALSE,FALSE,Primary
Green Lane Primary Academy,53.789288,-1.367021,0.649289,80.000000,FALSE,FALSE,FALSE,Primary
Greenmount Primary School,53.777237,-1.553032,0.644550,80.000000,FALSE,FALSE,FALSE,Primary
Yeadon Westfield Junior School,53.864346,-1.698439,0.639810,80.000000,FALSE,FALSE,FALSE,Primary
Blenheim Primary School,53.807107,-1.547527,0.635071,80.000000,FALSE,FALSE,FALSE,Primary
St Chads Church of England Primary School,53.832824,-1.597684,0.630332,80.000000,FALSE,TRUE,FALSE,Primary
